Date,Close,Open,High,Low,Vol.,Change %
"Aug 15, 2019",10303.40,10053.30,10448.20,9580.10,930.05K,2.53%
"Aug 16, 2019",10335.60,10300.90,10734.00,9788.60,798.67K,0.31%
"Aug 17, 2019",10218.10,10335.50,10460.70,10016.30,497.77K,-1.14%
"Aug 18, 2019",10312.70,10219.30,10494.90,10086.70,441.11K,0.93%
"Aug 19, 2019",10910.70,10312.80,10923.90,10267.80,519.01K,5.80%
"Aug 20, 2019",10752.60,10911.20,10941.60,10581.00,515.47K,-1.45%
"Aug 21, 2019",10141.50,10753.30,10797.80,9908.00,717.65K,-5.68%
"Aug 22, 2019",10105.00,10141.10,10218.20,9777.00,520.75K,-0.36%
"Aug 23, 2019",10388.70,10104.90,10434.30,9921.40,436.26K,2.81%
"Aug 24, 2019",10131.00,10389.40,10415.90,9917.50,463.85K,-2.48%
"Aug 25, 2019",10136.30,10132.10,10307.00,9935.20,422.53K,0.05%
"Aug 26, 2019",10371.80,10136.00,10568.20,10136.00,568.77K,2.32%
"Aug 27, 2019",10184.80,10372.20,10387.60,10060.20,419.81K,-1.80%
"Aug 28, 2019",9729.40,10184.70,10271.30,9629.60,580.29K,-4.47%
"Aug 29, 2019",9491.00,9729.10,9729.10,9343.00,509.13K,-2.45%
"Aug 30, 2019",9585.40,9494.10,9675.70,9370.20,413.92K,0.99%
"Aug 31, 2019",9594.40,9585.50,9677.50,9457.30,311.49K,0.09%
"Sep 01, 2019",9729.30,9594.70,9799.50,9533.60,322.66K,1.41%
"Sep 02, 2019",10348.80,9728.80,10431.50,9720.30,542.79K,6.37%
"Sep 03, 2019",10612.30,10348.10,10756.80,10283.50,578.79K,2.55%
"Sep 04, 2019",10568.20,10611.60,10783.60,10388.60,504.45K,-0.42%
"Sep 05, 2019",10566.90,10567.80,10630.70,10469.90,402.09K,-0.01%
"Sep 06, 2019",10309.30,10566.70,10896.20,10227.40,643.02K,-2.44%
"Sep 07, 2019",10461.10,10306.90,10556.40,10302.30,393.57K,1.47%
"Sep 08, 2019",10402.80,10461.60,10578.00,10266.30,339.73K,-0.56%
"Sep 09, 2019",10309.00,10402.10,10478.00,10095.70,473.76K,-0.90%
"Sep 10, 2019",10105.40,10308.70,10379.80,9970.70,383.22K,-1.98%
"Sep 11, 2019",10162.50,10104.90,10257.50,9908.90,413.06K,0.57%
"Sep 12, 2019",10415.10,10162.40,10447.90,10051.00,413.22K,2.49%
"Sep 13, 2019",10342.10,10415.20,10441.40,10174.10,365.52K,-0.70%
"Sep 14, 2019",10337.30,10342.20,10421.40,10253.70,326.44K,-0.05%
"Sep 15, 2019",10311.50,10337.30,10360.40,10272.00,255.79K,-0.25%
"Sep 16, 2019",10255.50,10311.30,10360.50,10108.50,372.53K,-0.54%
"Sep 17, 2019",10195.70,10254.60,10273.60,10153.50,321.64K,-0.58%
"Sep 18, 2019",10164.70,10195.70,10257.50,10119.30,318.82K,-0.30%
"Sep 19, 2019",10250.50,10164.60,10297.60,9707.60,542.25K,0.84%
"Sep 20, 2019",10172.70,10251.50,10279.50,10088.60,362.07K,-0.76%
"Sep 21, 2019",9993.00,10172.80,10177.90,9939.80,326.17K,-1.77%
"Sep 22, 2019",10031.60,9993.00,10075.00,9870.90,337.06K,0.39%
"Sep 23, 2019",9702.20,10031.30,10048.80,9656.30,431.10K,-3.28%
"Sep 24, 2019",8513.90,9702.70,9793.80,8069.40,933.16K,-12.25%
"Sep 25, 2019",8432.40,8512.30,8729.80,8245.10,696.11K,-0.96%
