Date,Close,Open,High,Low,Vol.,Change %,,
"Oct 02, 2019",180.27,175.78,180.84,173.97,8.47M,2.56%,X,
"Oct 03, 2019",174.54,180.26,180.57,170.65,8.89M,-3.18%,X,
"Oct 04, 2019",175.65,174.58,178.43,171.33,8.44M,0.64%,X,
"Oct 05, 2019",176.43,175.65,176.63,172.39,7.30M,0.44%,X,
"Oct 06, 2019",170.55,176.44,176.87,168.74,7.97M,-3.33%,X,
"Oct 07, 2019",179.87,170.52,182.03,169.13,10.95M,5.46%,X,
"Oct 08, 2019",180.78,179.81,184.57,177.74,10.26M,0.51%,X,
"Oct 09, 2019",192.64,180.74,195.08,179.39,12.43M,6.56%,X,
"Oct 10, 2019",191.1,192.65,194.08,187.33,10.42M,-0.80%,X,
"Oct 11, 2019",180.6,191.11,195.87,179.76,13.31M,-5.49%,X,
"Oct 12, 2019",179.87,180.6,184.49,178.78,9.85M,-0.40%,X,
"Oct 13, 2019",181.11,179.86,184.42,178.89,8.22M,0.69%,X,
"Oct 14, 2019",186.63,181.07,186.99,180.65,9.91M,3.05%,X,
"Oct 15, 2019",180.59,186.64,187.67,178.26,11.45M,-3.23%,X,
"Oct 16, 2019",174.53,180.57,181.08,172.49,12.28M,-3.36%,X,
"Oct 17, 2019",177.31,174.52,178.33,172.12,9.45M,1.59%,X,
"Oct 18, 2019",172.81,177.31,177.47,169.28,11.27M,-2.54%,X,
"Oct 19, 2019",171.91,172.79,174.81,170.38,9.89M,-0.52%,X,
"Oct 20, 2019",175.14,171.93,176.17,169.56,10.10M,1.88%,X,
"Oct 21, 2019",174.18,175.14,177.67,171.91,9.24M,-0.55%,X,
"Oct 22, 2019",171.42,174.17,175.08,170.82,9.86M,-1.58%,X,
"Oct 23, 2019",162.28,171.44,171.61,154.42,16.00M,-5.34%,X,
"Oct 24, 2019",160.73,162.26,163.68,159.4,11.36M,-0.95%,X,
"Oct 25, 2019",181.49,160.73,186.24,160.41,16.19M,12.92%,X,
"Oct 26, 2019",179.62,181.5,192.54,174.35,19.63M,-1.03%,X,
"Oct 27, 2019",184.05,179.61,188.33,176.47,14.54M,2.46%,X,
"Oct 28, 2019",181.67,184.06,188.91,180.7,12.75M,-1.29%,X,
"Oct 29, 2019",190.45,181.67,192.28,181.67,14.03M,4.83%,X,
"Oct 30, 2019",183.25,190.44,191.58,180.58,13.67M,-3.78%,X,
"Oct 31, 2019",182.37,183.25,185.21,178.24,12.94M,-0.48%,X,
"Nov 01, 2019",183.12,182.38,184.28,178.69,10.78M,0.41%,X,
"Nov 02, 2019",183.01,183.12,185.18,181.94,8.71M,-0.06%,X,
"Nov 03, 2019",181.7,183.01,184.51,179.46,10.41M,-0.72%,X,
"Nov 04, 2019",185.85,181.72,188.27,180.69,11.89M,2.29%,X,
"Nov 05, 2019",188.67,185.86,191.45,183.12,11.78M,1.51%,X,
"Nov 06, 2019",191.28,188.66,194.11,188.13,11.72M,1.38%,X,
"Nov 07, 2019",186.94,191.28,192.27,185.48,11.49M,-2.27%,X,
"Nov 08, 2019",184.03,186.95,188.35,181.83,11.71M,-1.56%,X,
"Nov 09, 2019",184.96,184.02,185.73,182.86,8.31M,0.50%,X,
"Nov 10, 2019",188.99,184.96,191.28,183.55,10.95M,2.18%,X,
"Nov 11, 2019",185.09,188.98,190.17,184.32,10.26M,-2.06%,X,
"Nov 12, 2019",186.99,185.09,187.44,183.24,9.35M,1.03%,X,
"Nov 13, 2019",188.36,187,189.45,185.7,7.77M,0.73%,X,Y
"Nov 14, 2019",185.25,188.36,188.91,183.96,9.57M,-1.65%,X,Y
"Nov 15, 2019",180.19,185.24,186.1,178.29,11.86M,-2.73%,X,Y
"Nov 16, 2019",182.42,180.19,183.46,179.53,7.62M,1.24%,X,Y
"Nov 17, 2019",184.18,182.39,185.97,180.49,8.57M,0.97%,X,Y
"Nov 18, 2019",178.5,184.19,184.33,176.08,9.57M,-3.09%,X,Y
"Nov 19, 2019",176.09,178.49,178.7,173.48,9.11M,-1.35%,X,Y
"Nov 20, 2019",174.96,176.09,177.42,173.99,8.39M,-0.64%,X,Y
"Nov 21, 2019",161.46,174.96,175.91,158.55,13.36M,-7.71%,X,Y
"Nov 22, 2019",149.8,161.46,163.06,139.13,21.12M,-7.22%,X,Y
"Nov 23, 2019",152.46,149.79,154.25,146.6,11.84M,1.77%,X,Y
"Nov 24, 2019",140.66,152.46,153.24,139.79,11.39M,-7.74%,X,Y
"Nov 25, 2019",145.9,140.58,151.26,131.78,17.98M,3.72%,X,Y
"Nov 26, 2019",147.61,145.88,149.81,144.04,10.84M,1.17%,X,Y
"Nov 27, 2019",152.7,147.6,155.43,141.91,13.34M,3.44%,X,Y
"Nov 28, 2019",151.07,152.71,154.68,149.71,9.66M,-1.07%,X,Y
"Nov 29, 2019",154.55,151.07,157.27,150.64,10.49M,2.30%,X,Y
"Nov 30, 2019",151.95,154.57,155.19,150.45,8.79M,-1.68%,X,Y
"Dec 01, 2019",151.04,151.93,152.33,146.26,9.91M,-0.60%,X,Y
"Dec 02, 2019",148.89,151.06,151.63,147.49,9.18M,-1.43%,X,Y
"Dec 03, 2019",147.82,148.89,149.84,146.56,8.73M,-0.72%,X,Y
"Dec 04, 2019",145.79,147.81,151.02,143.95,12.85M,-1.37%,X,Y
"Dec 05, 2019",148.69,145.79,149.08,144.64,9.99M,1.99%,X,Y
"Dec 06, 2019",148.89,148.7,149.36,147.01,8.77M,0.13%,X,Y
"Dec 07, 2019",148.28,148.88,149.76,147.54,8.11M,-0.41%,X,Y
"Dec 08, 2019",151.17,148.25,152.22,147.09,9.28M,1.95%,X,Y
"Dec 09, 2019",147.88,151.17,151.75,147.02,9.67M,-2.18%,X,Y
"Dec 10, 2019",145.86,147.88,148.48,144.49,11.12M,-1.37%,X,Y
"Dec 11, 2019",143.51,145.88,146.57,142.53,10.93M,-1.61%,X,Y
"Dec 12, 2019",145.03,143.51,145.82,140,12.23M,1.06%,X,Y
"Dec 13, 2019",144.96,145.04,145.43,143.51,10.95M,-0.05%,X,Y
"Dec 14, 2019",142.03,144.95,145.17,141.4,11.15M,-2.02%,X,Y
"Dec 15, 2019",142.53,142.03,143.87,140.3,11.31M,0.35%,X,Y
"Dec 16, 2019",132.78,142.55,142.75,131,17.60M,-6.84%,X,Y
"Dec 17, 2019",122.06,132.78,132.96,120.63,17.04M,-8.07%,X,Y
"Dec 18, 2019",132.92,122.06,133.93,117.14,20.23M,8.89%,X,Y
"Dec 19, 2019",128.42,132.93,133.9,126.12,14.22M,-3.39%,X,Y
"Dec 20, 2019",128.7,128.42,129.66,126.31,12.29M,0.22%,X,Y
"Dec 21, 2019",127.61,128.69,128.79,126.85,9.64M,-0.85%,X,Y
"Dec 22, 2019",132.19,127.61,133.04,127.09,13.67M,3.59%,X,Y
"Dec 23, 2019",128.08,132.2,134.92,126.55,14.73M,-3.11%,X,Y
"Dec 24, 2019",128.05,128.07,129.77,127.07,11.44M,-0.02%,X,Y
"Dec 25, 2019",125.24,128.05,128.17,124.18,13.23M,-2.20%,X,Y
"Dec 26, 2019",125.93,125.24,132.12,124.53,15.55M,0.55%,X,Y
"Dec 27, 2019",126.41,125.92,127.04,123.18,12.25M,0.38%,X,Y
"Dec 28, 2019",128.35,126.4,129.73,125.98,12.13M,1.54%,X,Y
"Dec 29, 2019",134.4,128.35,137.74,127.67,15.69M,4.71%,X,Y
"Dec 30, 2019",131.83,134.4,136.16,130.91,12.47M,-1.91%,X,Y
"Dec 31, 2019",129.21,131.87,133.53,128.27,12.89M,-1.99%,X,Y
"Jan 01, 2020",130.75,129.21,132.97,128.81,10.35M,1.19%,X,Y
"Jan 02, 2020",127.19,130.75,130.77,126.74,11.45M,-2.72%,X,Y
"Jan 03, 2020",134.27,127.19,134.86,126.05,15.67M,5.56%,X,Y
"Jan 04, 2020",134.33,134.3,135.57,132.76,11.16M,0.04%,X,Y
"Jan 05, 2020",135.59,134.32,138.33,134.32,12.19M,0.94%,X,Y
"Jan 06, 2020",144.08,135.59,144.27,135.17,14.36M,6.26%,X,Y
"Jan 07, 2020",143.04,144.09,145.13,139.22,13.58M,-0.73%,X,Y
"Jan 08, 2020",140.81,143.01,147.55,137.61,13.71M,-1.56%,X,Y
"Jan 09, 2020",137.92,140.8,141.6,135.85,11.38M,-2.05%,X,Y
"Jan 10, 2020",144.81,137.93,144.86,135.69,13.37M,4.99%,X,Y
"Jan 11, 2020",142.67,144.81,147.68,142.23,12.46M,-1.48%,X,Y
"Jan 12, 2020",146.46,142.65,146.46,142,10.01M,2.66%,X,Y
"Jan 13, 2020",143.6,146.5,146.87,142.64,10.26M,-1.95%,X,Y
"Jan 14, 2020",166.07,143.59,169.73,143.59,22.85M,15.65%,X,Y
"Jan 15, 2020",166.45,166.07,166.45,159.74,16.66M,0.23%,X,Y
"Jan 16, 2020",164.36,166.44,167.18,159.08,16.24M,-1.26%,X,Y
"Jan 17, 2020",170.22,164.39,173.96,162.33,18.57M,3.57%,X,Y
"Jan 18, 2020",174.19,170.18,179.29,165.34,17.42M,2.33%,X,Y
"Jan 19, 2020",166.92,174.17,177.77,162.04,15.84M,-4.17%,X,Y
"Jan 20, 2020",166.87,166.92,169.24,161.61,11.30M,-0.03%,X,Y
"Jan 21, 2020",169.41,166.87,169.79,165.53,11.52M,1.52%,X,Y
"Jan 22, 2020",168.13,169.41,171.27,166.19,11.30M,-0.76%,X,Y
"Jan 23, 2020",162.8,168.15,168.25,159.78,14.86M,-3.17%,X,Y
"Jan 24, 2020",162.55,162.8,164.27,155.65,14.88M,-0.15%,X,Y
"Jan 25, 2020",160.44,162.56,162.72,157.87,9.63M,-1.29%,X,Y
"Jan 26, 2020",167.9,160.4,168,159.55,9.82M,4.65%,X,Y
"Jan 27, 2020",170.27,167.91,171.97,165.45,12.54M,1.41%,X,Y
"Jan 28, 2020",175.74,170.27,176.06,170.27,12.63M,3.21%,X,Y
"Jan 29, 2020",173.86,175.78,178.41,173.76,11.27M,-1.07%,X,Y
"Jan 30, 2020",184.59,173.86,186.76,171.2,13.02M,6.17%,X,Y
"Jan 31, 2020",179.91,184.6,185.67,175.46,11.77M,-2.54%,X,Y
"Feb 01, 2020",183.64,179.88,184.17,179.36,13.24M,2.08%,X,Y
"Feb 02, 2020",188.5,183.58,193.25,179.49,14.54M,2.65%,X,Y
"Feb 03, 2020",189.79,188.48,194.92,187.16,11.95M,0.69%,X,Y
"Feb 04, 2020",188.93,189.8,191.48,188.93,11.56M,-0.45%,X,Y
"Feb 05, 2020",203.83,188.94,207.51,188.26,14.67M,7.89%,X,Y
"Feb 06, 2020",213.16,203.84,216.14,201.29,16.44M,4.58%,X,Y
"Feb 07, 2020",223.51,213.15,224.53,213.14,16.73M,4.86%,X,Y
"Feb 08, 2020",223.23,223.47,227.55,213.75,15.98M,-0.13%,X,Y
"Feb 09, 2020",228.59,223.23,230.38,223.07,14.28M,2.40%,X,Y
"Feb 10, 2020",222.95,228.61,229.28,217.02,16.50M,-2.47%,X,Y
"Feb 11, 2020",236.76,222.94,238.61,218.22,17.39M,6.19%,X,Y
"Feb 12, 2020",265.58,236.75,274.89,236.73,23.79M,12.18%,X,Y
"Feb 13, 2020",268.75,265.59,277.39,257.09,25.05M,1.19%,X,Y
"Feb 14, 2020",285.25,268.71,286.34,260.78,19.99M,6.14%,X,Y
"Feb 15, 2020",264.87,285.17,287.93,262.45,22.26M,-7.15%,X,Y
"Feb 16, 2020",259.99,264.87,273.81,237.89,24.82M,-1.84%,X,Y
"Feb 17, 2020",267.63,259.92,268.45,242.11,25.61M,2.94%,X,Y
"Feb 18, 2020",282.26,267.71,285.59,259.3,24.15M,5.46%,X,Y
"Feb 19, 2020",259.12,282.33,285.75,253.88,20.76M,-8.20%,X,Y
"Feb 20, 2020",257.39,259.07,264.22,246.46,22.07M,-0.67%,X,Y
"Feb 21, 2020",265.11,257.32,267.8,254.15,17.46M,3.00%,X,Y
"Feb 22, 2020",261.64,265.14,266.71,256.97,13.40M,-1.31%,X,Y
"Feb 23, 2020",274.72,261.65,275.3,261.24,16.04M,5.00%,X,Y
"Feb 24, 2020",265.65,274.72,276.81,258.15,19.96M,-3.30%,X,Y
"Feb 25, 2020",246.96,265.63,266.17,245.75,20.31M,-7.04%,X,Y
"Feb 26, 2020",224.3,246.97,250.05,216.39,29.55M,-9.18%,X,Y
"Feb 27, 2020",227.53,224.3,238.07,210.36,28.83M,1.44%,X,Y
"Feb 28, 2020",226.93,227.6,234.55,214.47,24.11M,-0.26%,X,Y
"Feb 29, 2020",217.52,226.94,232.87,217.43,16.34M,-4.15%,X,Y
"Mar 01, 2020",217.99,217.51,227.44,213,17.17M,0.21%,X,Y
"Mar 02, 2020",231.87,217.96,234.24,216.23,18.12M,6.37%,X,Y
"Mar 03, 2020",223.94,231.9,232.37,220.34,18.48M,-3.42%,X,Y
"Mar 04, 2020",224.38,223.94,228.66,220.74,14.65M,0.20%,X,Y
"Mar 05, 2020",228.45,224.36,233.96,224.34,17.82M,1.81%,X,Y
"Mar 06, 2020",244.9,228.46,244.98,227.71,17.74M,7.20%,X,Y
"Mar 07, 2020",237.32,244.87,251.55,236.87,16.90M,-3.10%,X,Y
"Mar 08, 2020",199.16,237.3,237.3,196.71,24.76M,-16.08%,X,Y
"Mar 09, 2020",202.85,199.21,208.23,190.73,30.27M,1.85%,X,Y
"Mar 10, 2020",200.56,202.88,205.62,196.17,21.87M,-1.13%,X,Y
"Mar 11, 2020",194.58,200.61,202.96,182.15,21.26M,-2.98%,X,Y
"Mar 12, 2020",107.9,194.57,195.4,102.83,53.51M,-44.55%,X,Y
"Mar 13, 2020",133.99,107.87,138.86,88.5,60.70M,24.18%,X,Y
"Mar 14, 2020",122.69,134.02,134.58,121.27,26.83M,-8.43%,X,Y
"Mar 15, 2020",124.35,122.67,132.13,120.93,26.24M,1.35%,X,Y
"Mar 16, 2020",111.02,124.35,124.38,102.44,40.25M,-10.72%,X,Y
"Mar 17, 2020",116.06,111.06,120.6,109.67,27.09M,4.54%,X,Y
"Mar 18, 2020",117.77,115.95,117.91,110.16,25.80M,1.47%,X,Y
"Mar 19, 2020",135.43,117.76,141.05,115.59,33.78M,15.00%,X,Y
"Mar 20, 2020",133.32,135.43,151.85,118.07,38.74M,-1.56%,X,Y
"Mar 21, 2020",132.58,133.32,137.33,126.01,27.00M,-0.56%,X,Y
"Mar 22, 2020",122.41,132.59,136.86,121.37,25.25M,-7.67%,X,Y
"Mar 23, 2020",136.02,122.46,136.93,120.2,28.62M,11.12%,X,Y
"Mar 24, 2020",138.62,136,142.9,132.67,27.10M,1.91%,X,Y
"Mar 25, 2020",136.07,138.59,141.88,133.06,24.15M,-1.84%,X,Y
"Mar 26, 2020",138.38,136.08,139.22,133.69,17.71M,1.70%,X,Y
"Mar 27, 2020",131.74,138.38,140.99,131.09,18.18M,-4.80%,X,Y
"Mar 28, 2020",131.03,131.74,132.68,125.48,21.03M,-0.54%,X,Y
"Mar 29, 2020",125.24,131.02,131.74,124.84,16.33M,-4.42%,X,Y
